Gene Symbol	Gene Product Name	GenBank Accession	Strain Name	Collection Date	Host	Country
PB2	Polymerase basic protein 2	MH083298	A/Alabama/01/2018	1/2/2018	Human	USA
HA	Hemagglutinin	MH083301	A/Alabama/01/2018	1/2/2018	Human	USA
PB2	polymerase PB2	MK554940	A/Alabama/01/2019	1/1/2019	Human	USA
NA	Neuraminidase	MH083311	A/Alabama/02/2018	1/3/2018	Human	USA
NS1	Non-structural protein 1	MH081889	A/Alabama/03/2018	1/3/2018	Human	USA
PA	Polymerase acidic protein	MH081893	A/Alabama/03/2018	1/3/2018	Human	USA
NA	Neuraminidase	MH081888	A/Alabama/03/2018	1/3/2018	Human	USA
PB2	Polymerase basic protein 2	MH081895	A/Alabama/03/2018	1/3/2018	Human	USA
NP	nucleocapsid protein	MK630771	A/Alabama/03/2019	1/2/2019	Human	USA
HA	hemagglutinin	MK630770	A/Alabama/03/2019	1/2/2019	Human	USA
NS1	nonstructural protein 1	MK630774	A/Alabama/03/2019	1/2/2019	Human	USA
HA	hemagglutinin	MK744672	A/Alabama/04/2019	1/3/2019	Human	USA
PB1	polymerase PB1	MK744670	A/Alabama/04/2019	1/3/2019	Human	USA
PA	Polymerase acidic protein	MH125603	A/Alabama/05/2018	1/12/2018	Human	USA
NA	neuraminidase	MK744682	A/Alabama/05/2019	1/3/2019	Human	USA
NP	nucleocapsid protein	MK744681	A/Alabama/05/2019	1/3/2019	Human	USA
HA	hemagglutinin	MK744680	A/Alabama/05/2019	1/3/2019	Human	USA
PB2	polymerase PB2	MK630775	A/Alabama/06/2019	1/19/2019	Human	USA
NA	neuraminidase	MK630780	A/Alabama/06/2019	1/19/2019	Human	USA
PA-X	PA-X protein	MK630777	A/Alabama/06/2019	1/19/2019	Human	USA
PB1	RNA-directed RNA polymerase catalytic subunit	MH125612	A/Alabama/07/2018	1/13/2018	Human	USA
PA-X	Protein PA-X	MH125611	A/Alabama/07/2018	1/13/2018	Human	USA
NP	nucleocapsid protein	MK676812	A/Alabama/07/2019	1/17/2019	Human	USA
HA	hemagglutinin	MK676811	A/Alabama/07/2019	1/17/2019	Human	USA
PB1	RNA-directed RNA polymerase catalytic subunit	MH125620	A/Alabama/08/2018	1/15/2018	Human	USA
HA	Hemagglutinin	MH125618	A/Alabama/08/2018	1/15/2018	Human	USA
